Posisi,Mitra,Bidang,Lokasi,Deskripsi,Provinsi,Kabupaten_Kota,Kecamatan,Skor_Kecocokan,Probabilitas_Diterima,Sentimen,Kategori_Sentimen,Skor_Deskripsi
Education Program Officer,Pt Partner Impian Milenial (Schoters),"Riset, Kebijakan, dan Pendidikan","Provinsi : DI Yogyakarta
Kabupaten/Kota : Yogyakarta
Kecamatan : Sleman","Dalam posisi ini, peserta magang akan terlibat dalam
mendampingi, membimbing, dan mendukung student
B2C maupun B2B di layanan Study Abroad Tutoring
selama proses persiapan aplikasi pendaftaran hingga
keberangkatan studi ke luar negeri. Peserta juga akan
terlibat dalam memberikan intervensi yang tepat untuk
membantu pencapaian target student.",DI Yogyakarta,Yogyakarta,Sleman,4,16.67,0.0,Netral,1
HR Officer / Recruiter,Pt Partner Impian Milenial (Schoters),Sumber Daya Manusia,"Provinsi : DI Yogyakarta
Kabupaten/Kota : Sleman, Yogyakarta
Kecamatan : Gamping","Dalam posisi ini, pemagang akan berperan langsung
dalam mendukung kegiatan rekrutmen, employer
branding, dan employee engagement di perusahaan.
Pemagang akan mendapatkan pengalaman langsung
dalam proses rekrutmen secara menyeluruh
(end-to-end hiring), mempelajari strategi retensi
karyawan, serta berkontribusi dalam berbagai inisiatif
untuk membangun citra perusahaan sebagai tempat
kerja yang positif dan menarik. Selain itu, pemagang
juga akan dilibatkan dalam kegiatan internal yang
bertujuan memperkuat hubungan antar karyawan dan
meningkatkan keterlibatan (engagement) dalam
lingkungan kerja.",DI Yogyakarta,"Sleman, Yogyakarta",Gamping,5,20.83,0.0,Netral,1
Content Creator / Videographer,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : DI Yogyakarta
Kabupaten/Kota : Sleman, Yogyakarta
Kecamatan : Gamping","Di posisi ini, peserta magang akan terlibat dalam
pembuatan video yang selaras dengan identitas brand
untuk media sosial, kampanye pemasaran, hingga
kebutuhan branding internal dan eksternal serta
kebutuhan desain lainnya. Untuk seluruh department di
Schoters",DI Yogyakarta,"Sleman, Yogyakarta",Gamping,2,8.33,0.0,Netral,1
Graphic Design,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : DI Yogyakarta
Kabupaten/Kota : Sleman, Yogyakarta
Kecamatan : Gamping","Di posisi ini, peserta magang akan terlibat untuk
membuat desain visual yang selaras dengan identitas
brand untuk media sosial, kampanye pemasaran,
hingga kebutuhan branding internal dan eksternal serta
kebutuhan desain lainnya. Untuk seluruh department di
schoters",DI Yogyakarta,"Sleman, Yogyakarta",Gamping,5,20.83,0.0,Netral,1
Business Operation,Pt Partner Impian Milenial (Schoters),Strategi & Bisnis,"Provinsi : DI Yogyakarta
Kabupaten/Kota : Sleman, Yogyakarta
Kecamatan : Gamping","Dalam posisi ini, peserta magang akan terlibat langsung dalam kegiatan operasional bisnis untuk layanan Study Abroad Tutoring. Peserta akan mendapatkan
pengalaman dalam melakukan peningkatan alur
strategis operasional bisnis, menangani manajemen
proyek terkait untuk memenuhi kebutuhan bimbingan
siswa, serta mengembangkan inovasi dan efisiensi di aspek operasional",DI Yogyakarta,"Sleman, Yogyakarta",Gamping,2,8.33,0.0,Netral,1
Customer Experience,Pt Partner Impian Milenial (Schoters),Layanan Pelanggan & Pengalaman Pengguna,"Provinsi : DI Yogyakarta
Kabupaten/Kota : Sleman, Yogyakarta
Kecamatan : Gamping","Dalam posisi ini, peserta magang akan bertanggung
jawab untuk memberikan dukungan langsung kepada
pelanggan, memastikan mereka mendapatkan
pengalaman yang positif, solutif, dan menyenangkan
dalam setiap interaksi dengan produk atau layanan
perusahaan. Peran ini menjadi jembatan penting antara
pelanggan dan perusahaan dalam menciptakan
loyalitas dan kepuasan jangka panjang.",DI Yogyakarta,"Sleman, Yogyakarta",Gamping,0,0.0,0.0,Netral,0
ONLINE BISNIS OPERATION SUPPORT,Pt Midi Utama Indonesia Tbk,Operation,"BRANCH PASURUAN
Jl. Raya Cangkringmalang, Turen, Cangkringmalang, Kec. Beji,
Pasuruan, Jawa Timur 67154",Analisa Dan Monitoring Report Transaksi Online Di Cabang,,,,0,0.0,0.0,Netral,0
Social Media Management,Kementerian Pekerjaan Umum,Komunikasi dan media,"Provinsi : Jawa Timur
Kabupaten/Kota : Surabaya
Kecamatan : Gayungan","Pengelolaan, pengembangan, dan optimalisasi kehadiran suatu merk atau organisasi di platform media sosial",Jawa Timur,Surabaya,Gayungan,2,8.33,0.0,Netral,1
Mobile App Developer,Pt Otak Kanan,Teknologi Informasi,"Provinsi : Jawa Timur
Kabupaten/Kota : Surabaya
Kecamatan : Gayungan",Pengembangan aplikasi Android/iOS menggunakan Flutter,Jawa Timur,Surabaya,Gayungan,4,16.67,0.0,Netral,1
UI/UX,Pt Otak Kanan,Teknologi Informasi,"Provinsi : Jawa Timur
Kabupaten/Kota : Surabaya
Kecamatan : Gayungan",Mendesain antarmuka pengguna untuk aplikasi web dan mobile.,Jawa Timur,Surabaya,Gayungan,9,37.5,0.0,Netral,2
IT Support / System Administrator,Kementerian Pekerjaan Umum,Teknologi Informasi,"Provinsi : Jawa Timur
Kabupaten/Kota : Surabaya
Kecamatan : Gayungan","Memberikan bantuan teknis kepada pengguna terkait perangkat
keras (hardware), perangkat lunak (software), jaringan, dan printer;
MMengelola dan memelihara server (Windows/Linux), sistem
penyimpanan data, dan jaringan internal;",Jawa Timur,Surabaya,Gayungan,9,37.5,0.0,Netral,2
Drafter CAD,Kementerian Pekerjaan Umum,Teknik & Infrastruktur,"Provinsi : Jawa Timur
Kabupaten/Kota : Surabaya
Kecamatan : Gayungan","Membuat dan mengembangkan gambar kerja (shop drawing)
berdasarkan arahan dari engineer atau arsitek; Menggunakan
perangkat lunak CAD (seperti AutoCAD, SolidWorks, SketchUp,
atau Revit) untuk menghasilkan gambar 2D dan/atau 3D;
Memastikan gambar sesuai dengan standar teknik dan spesifikasi
yang berlaku (SNI, ISO, atau standar internal Pemerintahan)",Jawa Timur,Surabaya,Gayungan,2,8.33,0.0,Netral,1
Full Stack Web Developer,Pt Otak Kanan,Teknologi Informasi,"Provinsi : Jawa Timur
Kabupaten/Kota : Surabaya
Kecamatan : Gayungan",Pengembangan aplikasi web end-to-end.,Jawa Timur,Surabaya,Gayungan,6,25.0,0.0,Netral,2
Content Creator,Pt Otak Kanan,Komunikasi & Media,"Provinsi : Jawa Timur
Kabupaten/Kota : Surabaya
Kecamatan : Gayungan","Membuat konten video, artikel, desain media sosial, dan dokumentasi kegiatan perusahaan.",Jawa Timur,Surabaya,Gayungan,2,8.33,0.0,Netral,1
Digital Marketing,Pt Otak Kanan,Komunikasi & Media,"Provinsi : Jawa Timur
Kabupaten/Kota : Surabaya
Kecamatan : Gayungan","Mengelola iklan digital, SEO, SEM, dan kampanye media sosial.",Jawa Timur,Surabaya,Gayungan,3,12.5,0.0,Netral,0
Business Operation,Pt Partner Impian Milenial (Schoters),Strategi & Bisnis,"Provinsi : Jawa Timur
Kabupaten/Kota : Surabaya
Kecamatan : Genteng","Dalam posisi ini, peserta magang akan terlibat langsung
dalam kegiatan operasional bisnis untuk layanan Work
Abroad Tutoring. Peserta akan mendapatkan
pengalaman dalam melakukan peningkatan alur
strategis operasional bisnis, menangani manajemen
proyek terkait untuk memenuhi kebutuhan bimbingan
siswa, serta mengembangkan inovasi dan efisiensi di
aspek operasional",Jawa Timur,Surabaya,Genteng,2,8.33,0.0,Netral,1
"Social Media Management, Content Creator/Videographer, IT Support, Civil Enggineer, Drafter CAD",Kementerian Pekerjaan Umum,"Komunikasi & Media, Teknologi Informasi, Teknik & Infrastruktur",Kota Medan Provinsi Sumatera Utara,"1. Komunikasi & Media :
- Social Media Management : Mengatur social media unit kerja;
- Content Creator/Videographer : Memunculkan ide-ide konten
media sosial yang berkaitan dengan unit kerja
2. Teknologi Informasi :
- IT Support : Dukungan Teknis permasalahan hardware, software
dan jaringan
3. Teknik & Infrastruktur :
- Civil Enggineer : Pengawasan dan administrasi teknik pada
pekerjaan pemeliharaan kantor.
- Drafter CAD : Membuat denah kantor.",,,,7,29.17,0.03333333333333333,Netral,1
Marketing Communication and Sales,Pt Maleo Edukasi Teknologi,Strategi & Bisnis,"Provinsi : Riau
Kabupaten/Kota : Pekanbaru
Kecamatan : Pekanbaru Kota","Marketing Communication & Sales harus merancang strategi
pemasaran dan penjualan untuk meningkatkan brand awareness serta
pencapaian target penjualan perusahaan. Posisi ini melibatkan
analisis pasar, promosi produk, membina hubungan dengan
pelanggan, serta mengembangkan strategi untuk menarik dan
mempertahankan konsumen.",Riau,Pekanbaru,Pekanbaru Kota,3,12.5,0.0,Netral,1
STEM Teacher for K-12 Students,Pt Maleo Edukasi Teknologi,Pendidikan,"Provinsi : Riau
Kabupaten/Kota : Pekanbaru
Kecamatan : Pekanbaru Kota","Peserta magang akan bertugas sebagai pendidik dalam program
pembelajaran coding dan robotik bagi siswa. Mereka akan memiliki
peran penting dalam mendukung pengembangan keterampilan
teknologi dan kreativitas siswa melalui pembelajaran interaktif dan
inspiratif.",Riau,Pekanbaru,Pekanbaru Kota,5,20.83,0.0,Netral,2
Tax & Treasury,Kementerian Pekerjaan Umum,Keuangan & Hukum,"Provinsi : Kalimantan Selatan
Kabupaten/Kota : Kota Banjarmasin
Kecamatan : Banjarmasin Selatan",Manajemen Perpajakan dan Keuangan,Kalimantan Selatan,Kota Banjarmasin,Banjarmasin Selatan,0,0.0,0.0,Netral,0
IT Support / System Administrator,Kementerian Pekerjaan Umum,Teknologi Informasi,"Provinsi : Kalimantan Selatan
Kabupaten/Kota : Kota Banjarmasin
Kecamatan : Banjarmasin Selatan",Mengelola Jaringan,Kalimantan Selatan,Kota Banjarmasin,Banjarmasin Selatan,5,20.83,0.0,Netral,0
Copywriter / Editor,Kementerian Pekerjaan Umum,Komunikasi & Media,"Provinsi : Kalimantan Selatan
Kabupaten/Kota : Kota Banjarmasin
Kecamatan : Banjarmasin Selatan",Mengelola Konten,Kalimantan Selatan,Kota Banjarmasin,Banjarmasin Selatan,3,12.5,0.0,Netral,0
Drafter CAD,Kementerian Pekerjaan Umum,Teknik & Infrastruktur,"Balai Pengembangan Kompetensi PU Wilayah VIII Makassar
Provinsi : Sulawesi Selatan
Kota: Makassar
Kecamatan: Mariso","Bertanggung jawab untuk membuat, mengembangkan, dan memperbarui gambar teknik (2D/3D) menggunakan perangkat lunak CAD (Computer Aided Design) berdasarkan arahan dari tim engineering dan spesifikasi proyek.",,,,4,16.67,0.0,Netral,2
"Educational Program Officer, Training & Development",Kementerian Pekerjaan Umum,"Riset, Kebijakan dan Pendidikan","Balai Pengembangan Kompetensi PU Wilayah VIII Makassar
Provinsi : Sulawesi Selatan
Kota: Makassar
Kecamatan: Mariso","1. Educational Program Officer dapat merancang, mengelola, dan
mengevaluasi program pelatihan yang relevan dengan tujuan organisasi
BPSDM Kem. PU, dan memastikan bahwa seluruh program pelatihan
berjalan dengan efektif, sesuai standar kurikulum, serta berdampak positif
bagi peserta pelatihan.
2. Training & Development dapat mengidentifikasi kebutuhan pelatihan,
mereview modul, pelatihan guna meningkatkan kompetensi ASN
Kementerian PU dan mendukung pengembangan organisasi.",,,,9,37.5,0.25,Positif,2
"Social Media Management, Content Creator/Videografer, Copywriter/Editor",Kementerian Pekerjaan Umum,Komunikasi dan media,"Balai Pengembangan Kompetensi PU Wilayah VIII Makassar
Provinsi : Sulawesi Selatan
Kota: Makassar
Kecamatan: Mariso","1. Mengembangkan dan melaksanakan strategi media sosial untuk
meningkatkan brand awareness, engagement, dan traffic.
2. Mengelola akun media sosial
3. Membuat, menjadwalkan, dan mempublikasikan konten secara rutin
yang relevan dan menarik sesuai dengan identitas unit kerja
4. Berinteraksi dengan audiens, membalas komentar dan pesan, serta
memantau sentimen publik.
5. Menganalisis performa konten dan kampanye media sosial
menggunakan tools analitik.
6. Dapat bekerja sama dengan tim konten, desain grafis, untuk memastikan
integrasi pesan di semua platform.
7. Mengikuti tren media sosial terkini dan merekomendasikan ide kreatif
yang relevan.
8. Menyusun laporan performa bulanan dan memberikan insight untuk
perbaikan strategi.",,,,5,20.83,0.0,Netral,1
Foreign Language (Japanese),Pt Maleo Edukasi Teknologi,Pendidikan,"Provinsi : Sulawesi Selatan
Kabupaten/Kota : Makassar
Kecamatan : Panakkukang","Program magang ini dirancang bagi mahasiswa yang memiliki latar
belakang Bahasa Jepang dan tertarik untuk mengembangkan
keterampilan mengajar di lingkungan pendidikan formal maupun
nonformal. Sebagai peserta magang, Anda akan berperan aktif
dalam membantu proses pembelajaran Bahasa Jepang dan
mendapatkan pengalaman langsung dalam dunia pengajaran.",Sulawesi Selatan,Makassar,Panakkukang,3,12.5,0.0,Netral,1
STEM Teacher for K-12 Students,Pt Maleo Edukasi Teknologi,Pendidikan,"Provinsi : Sulawesi Selatan
Kabupaten/Kota : Makassar
Kecamatan : Panakkukang","Peserta magang akan bertugas sebagai pendidik dalam program
pembelajaran coding dan robotik bagi siswa. Mereka akan
memiliki peran penting dalam mendukung pengembangan
keterampilan teknologi dan kreativitas siswa melalui pembelajaran
interaktif dan inspiratif.",Sulawesi Selatan,Makassar,Panakkukang,5,20.83,0.0,Netral,2
ONLINE BISNIS OPERATION SUPPORT,Pt Midi Utama Indonesia Tbk,Operation,"BRANCH MAKASAR
Kawasan Industri, Jl. Kima 8 Blok SS No.23, Daya, Makassar, Kota
Makassar, Sulawesi Selatan 90241",Analisa Dan Monitoring Report Transaksi Online Di Cabang,,,,0,0.0,0.0,Netral,0
Pengelolaan Keuangan APBN; atau Pengelolaan Manajemen Risiko / SPIP / SMAP,Kementerian Pekerjaan Umum,Keuangan & Hukum,"Provinsi : Papua
Kabupaten/Kota : Kota Jayapura
Kecamatan : Jayapura Utara",Pengelolaan Keuangan APBN dan atau Pengelolaan Manajemen Risiko / SPIP / SMAP,Papua,Kota Jayapura,Jayapura Utara,0,0.0,0.0,Netral,0
Foreign Language (English),Pt Maleo Edukasi Teknologi,Pendidikan,"Provinsi : Banten
Kabupaten/Kota : Tangerang Selatan
Kecamatan : Serpong","Peserta magang akan bertugas sebagai pendidik dalam Bahasa
Inggris, Anda akan mendukung proses pembelajaran Bahasa Inggris
bagi siswa dengan bimbingan dari guru senior atau koordinator
akademik. Magang ini dirancang untuk memberikan pengalaman
praktis dalam pengajaran, perencanaan pelajaran, serta pengelolaan
kelas.",Banten,Tangerang Selatan,Serpong,10,41.67,0.0,Netral,2
Marketing Communication and Sales,Pt Maleo Edukasi Teknologi,Strategi & Bisnis,"Provinsi : Banten
Kabupaten/Kota : Tangerang Selatan
Kecamatan : Serpong","Marketing Communication & Sales harus merancang strategi
pemasaran dan penjualan untuk meningkatkan brand awareness serta
pencapaian target penjualan perusahaan. Posisi ini melibatkan analisis
pasar, promosi produk, membina hubungan dengan pelanggan, serta
mengembangkan strategi untuk menarik dan mempertahankan
konsumen.",Banten,Tangerang Selatan,Serpong,8,33.33,0.0,Netral,1
International Relations Department,Pt Maleo Edukasi Teknologi,Strategi & Bisnis,"Provinsi : Banten
Kabupaten/Kota : Tangerang Selatan
Kecamatan : Serpong","Mengelola komunikasi, kerja sama, dan kemitraan strategis dengan
mitra luar negeri, termasuk institusi pendidikan, organisasi
internasional, pemerintah, dan sektor swasta. Posisi ini mendukung
inisiatif global organisasi serta memperkuat citra dan pengaruh
institusi di tingkat internasional.",Banten,Tangerang Selatan,Serpong,6,25.0,0.0,Netral,0
Accounting,Pt Maleo Edukasi Teknologi,Keuangan,"Provinsi : Banten
Kabupaten/Kota : Tangerang Selatan
Kecamatan : Serpong","Program magang akuntansi memberikan pengalaman praktis kepada
mahasiswa dalam bidang pencatatan keuangan, penyusunan laporan,
dan proses audit. Peserta magang akan dilibatkan langsung dalam
aktivitas akuntansi harian perusahaan atau instansi, dengan bimbingan
dari tim keuangan dan akuntan profesional.",Banten,Tangerang Selatan,Serpong,6,25.0,0.0,Netral,0
IT,Pt Maleo Edukasi Teknologi,Teknologi Informasi,"Provinsi : Banten
Kabupaten/Kota : Tangerang Selatan
Kecamatan : Serpong","Magang IT memberikan kesempatan bagi mahasiswa untuk
mendapatkan pengalaman langsung dalam pengembangan dan
pengelolaan sistem teknologi informasi. Posisi ini melibatkan
dukungan teknis, pengembangan perangkat lunak, manajemen data,
serta keterlibatan dalam proyek pengembangan sistem atau aplikasi di
bawah bimbingan tim profesional.",Banten,Tangerang Selatan,Serpong,15,62.5,0.0,Netral,2
Foreign Language (Korean),Pt Maleo Edukasi Teknologi,Pendidikan,"Provinsi : Banten
Kabupaten/Kota : Tangerang Selatan
Kecamatan : Serpong","Program magang ini bertujuan memberikan pengalaman praktis kepada mahasiswa yang memiliki minat dan kompetensi dalam
Bahasa Korea. Magang ini berfokus pada pengembangan
keterampilan mengajar, penyusunan materi, serta interaksi langsung
dalam kegiatan pembelajaran Bahasa Korea untuk tingkat dasar
hingga menengah.",Banten,Tangerang Selatan,Serpong,8,33.33,0.0,Netral,1
Content Creator / Videographer,Pt Maleo Edukasi Teknologi,Komunikasi & Media,"Provinsi : Banten
Kabupaten/Kota : Tangerang Selatan
Kecamatan : Serpong","Membuat, mengembangkan, dan mengelola konten kreatif
digital yang relevan, menarik, dan sesuai dengan identitas merek di
berbagai platform (seperti Instagram, TikTok, dan YouTube). Posisi
ini memadukan kreativitas, kemampuan menulis dan visual, serta
pemahaman tentang tren media digital untuk menjangkau dan
membangun audiens",Banten,Tangerang Selatan,Serpong,8,33.33,0.0,Netral,1
Foreign Language (Japanese),Pt Maleo Edukasi Teknologi,Pendidikan,"Provinsi : Banten
Kabupaten/Kota : Tangerang Selatan
Kecamatan : Serpong","Program magang ini dirancang bagi mahasiswa yang memiliki latar belakang Bahasa Jepang dan tertarik untuk mengembangkan
keterampilan mengajar di lingkungan pendidikan formal maupun
nonformal. Sebagai peserta magang, Anda akan berperan aktif
dalam membantu proses pembelajaran Bahasa Jepang dan
mendapatkan pengalaman langsung dalam dunia pengajaran.",Banten,Tangerang Selatan,Serpong,8,33.33,0.0,Netral,1
STEM Teacher for K-12 Students,Pt Maleo Edukasi Teknologi,Pendidikan,"Provinsi : Banten
Kabupaten/Kota : Tangerang Selatan
Kecamatan : Serpong","Peserta magang akan bertugas sebagai pendidik dalam program
pembelajaran coding dan robotik bagi siswa. Mereka akan memiliki
peran penting dalam mendukung pengembangan keterampilan
teknologi dan kreativitas siswa melalui pembelajaran interaktif dan
inspiratif.",Banten,Tangerang Selatan,Serpong,10,41.67,0.0,Netral,2
DESAIN DAN EVENT,Pt Midi Utama Indonesia Tbk,Marketing,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Optimalisasi Desain Dan Event,,,,5,20.83,0.0,Netral,1
LEGAL & COMPLIANCE ADMINISTRATION,Pt Midi Utama Indonesia Tbk,Corporate Legal & Compliance,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Pengadministrasian Data Oss,,,,2,8.33,0.0,Netral,1
FINANCE OPERATION SUPPORT,Pt Midi Utama Indonesia Tbk,Finance,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Digital Arsip Dan Upload Transaksi Pemindahan Dana,,,,0,0.0,0.0,Netral,0
TALENT MANAGEMENT SPECIALIST,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Monitoring Pemenuhan Karyawan,,,,2,8.33,0.0,Netral,0
PERFORMANCE MANAGEMENT & DATA ANALYST,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Performance Management & Data Analyst,,,,7,29.17,0.0,Netral,1
HC SYSTEM ANALYST,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Hc System Analyst,,,,2,8.33,0.0,Netral,0
SOCIAL MEDIA SPECIALIST,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Social Media Gema Budaya,,,,2,8.33,0.03333333333333333,Netral,0
LEARNING OPERATION SPECIALIST,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Optimizing Learning & Development,,,,2,8.33,0.0,Netral,0
LEARNING OPERATION SPECIALIST,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Alfamidi Class Development,,,,2,8.33,0.0,Netral,0
KNOWLEDGE MANAGEMENT SPECIALIST,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Km Measurement,,,,2,8.33,0.0,Netral,0
KNOWLEDGE MANAGEMENT SPECIALIST,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Km Media Campaign,,,,4,16.67,0.0,Netral,1
LEARNING DESIGN SPECIALIST,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Pengembangan Media Pembelajaran,,,,7,29.17,0.0,Netral,1
Event Organizer,Pt Partner Impian Milenial (Schoters),Marketing & Commercial,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan bertanggung
jawab dalam mendukung perencanaan dan
pelaksanaan berbagai acara internal maupun eksternal
perusahaan, mulai dari tahap pra-produksi hingga
evaluasi pasca acara. Peserta magang akan berperan
penting dalam memastikan setiap acara berjalan lancar,
terkoordinasi, dan memberikan pengalaman yang
berkesan bagi peserta.",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.0,Netral,1
Customer Engagement,Pt Partner Impian Milenial (Schoters),Pemasaran,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan bertanggung
jawab melakukan quality control terhadap pembelajaran
yang disampaikan oleh guru, komunikasi yang
dilakukan oleh sales/tim admission sekolah, dan tim
yang berkomunikasi dengan orang tua siswa",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.0,Netral,1
Business Operation,Pt Partner Impian Milenial (Schoters),Operasional & Logistik,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan terlibat langsung
dalam kegiatan operasional bisnis untuk layanan tur
STYLE, yaitu tur edukasional ke kampus-kampus top di
dunia. Peserta akan mendapatkan pengalaman dalam
melakukan peningkatan alur strategis operasional bisnis
tur, menangani manajemen proyek untuk kebutuhan
peserta tur, serta mengembangkan inovasi dan efisiensi
di aspek operasional",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.5,Positif,1
Customer Engagement,Pt Partner Impian Milenial (Schoters),Pemasaran,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan berperan
sebagai garda terdepan dalam menjalin hubungan
pertama dengan calon student peserta educational tour.
Posisi ini melibatkan pendekatan komunikatif, responsif,
dan empatik untuk meningkatkan ketertarikan student
untuk mengikuti program Educational Tour",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.25,Positif,1
Corporate Affairs,Pt Partner Impian Milenial (Schoters),Strategi & Bisnis,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Menganalisis kinerja keuangan perusahaan dan
mengembangkan strategi keuangan untuk mendukung
pertumbuhan bisnis dan pengambilan keputusan
manajemen.",Jakarta,Jakarta Pusat,Setia Budi,8,33.33,0.0,Netral,0
Business Development,Pt Partner Impian Milenial (Schoters),Strategi & Bisnis,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, peserta magang akan terlibat dalam proses
pengembangan bisnis baru dan melakukan analisis
untuk potensi merger, akuisisi, dan ekspansi global.
Dalam proses pengembangan bisnis baru, pemagang
akan berpartisipasi aktif dari mulai trial produk,
peningkatan awareness produk baru melalui social
media dan campaign, hingga mendapatkan leads
potensial dan closing. Pada proses analisis potensi
merger dan akuisisi, pemagang akan mendukung tim
Business Development untuk mengidentifikasi target
potensial hingga mendukung proses due diligence.",Jakarta,Jakarta Pusat,Setia Budi,9,37.5,-0.030555555555555558,Netral,2
Project Management,Pt Partner Impian Milenial (Schoters),Strategi & Bisnis,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, pemagang akan membantu tim CEO
Office dalam mengelola dan mengembangkan berbagai
inisiatif strategis perusahaan. Peran ini mencakup
keterlibatan dalam analisis performa bisnis, perbaikan
sistem kerja lintas departemen, serta pelaksanaan
proyek-proyek strategis yang berfokus pada efektivitas
organisasi dan pencapaian tujuan jangka panjang
perusahaan. Pemagang diharapkan dapat mengasah
kemampuan berpikir kritis, pemecahan masalah, dan
komunikasi lintas fungsi melalui berbagai inisiatif bisnis
yang berdampak langsung pada arah pertumbuhan
perusahaan.",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.0,Netral,1
Digital Marketing Specialist,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, peserta magang akan membantu proses
perencanaan, eksekusi, dan analisis performance both
organic dan paid channel di platform seperti Meta Ads,
Google Ads, Instagram. Posisi ini cocok buat peserta
yang ingin mengembangkan kemampuan analitis dan
logika pemasaran secara praktikal.",Jakarta,Jakarta Pusat,Setia Budi,10,41.67,0.0,Netral,1
Digital Marketing Specialist,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, peserta magang akan berperan dalam
menciptakan ide konten, desain visual, dan copywriting
yang engaging untuk berbagai campaign digital. Cocok
untuk peserta yang punya passion dalam storytelling
visual dan ingin berkontribusi dalam membangun brand
secara kreatif.",Jakarta,Jakarta Pusat,Setia Budi,10,41.67,0.1,Netral,1
Event Organizer,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, peserta magang akan berperan dalam
mendukung pelaksanaan event dari awal hingga akhir,
baik secara online maupun offline. Peran ini mencakup
pembuatan materi promosi, komunikasi dengan
peserta, peran sebagai moderator saat acara
berlangsung, hingga memastikan keseluruhan acara
berjalan lancar. Intern juga akan terlibat dalam diskusi
tim untuk merancang strategi konten dan promosi event
yang berdampak.",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.0,Netral,1
